feature,frequency,rank,docfreq,group
fall,3955,148,613,all
injury,3927,149,654,all
never,3922,150,872,all
weight,3905,151,1052,all
7,3856,152,934,all
recent,3854,153,959,all
level,3848,154,887,all
edema,3845,155,1056,all
n,3825,156,786,all
activity,3808,157,907,all
mcg,3742,158,708,all
pulmonary,3722,159,814,all
discussed,3714,160,984,all
seen,3713,161,1000,all
yes,3676,162,763,all
prn,3669,163,764,all
p,3658,164,796,all
systems,3631,165,1127,all
count,3588,166,570,all
total,3571,167,906,all
abdomen,3561,168,978,all
mild,3559,169,875,all
release,3558,170,842,all
r,3557,171,808,all
min,3544,172,721,all
breath,3540,173,881,all
pulse,3539,174,1204,all
lower,3523,175,813,all
sounds,3522,176,888,all
alert,3508,177,1131,all
year,3501,178,962,all
11,3495,179,834,all
non,3495,179,994,all
90,3490,181,763,all
comments,3489,182,751,all
cancer,3486,183,644,all
found,3485,184,876,all
also,3484,185,1008,all
health,3476,186,882,all
location,3462,187,801,all
units,3425,188,551,all
male,3401,189,619,all
given,3385,190,958,all
provider,3375,191,863,all
bilateral,3352,192,748,all
abdominal,3347,193,834,all
place,3327,194,954,all
call,3310,195,887,all
evaluation,3298,196,901,all
creatinine,3249,197,917,all
lb,3244,198,1043,all
soft,3229,199,1066,all
diabetes,3228,200,576,all
bid,3215,201,631,all
disp,3214,202,173,all
tobacco,3212,203,910,all
primary,3199,204,944,all
report,3187,205,742,all
rfl,3185,206,163,all
b,3178,207,762,all
signs,3176,208,848,all
t,3169,209,830,all
problems,3133,210,886,all
illness,3128,211,986,all
changes,3114,212,902,all
rn,3105,213,549,all
contrast,3100,214,489,all
dose,3086,215,801,all
mrn,3069,216,921,all
q,3054,217,569,all
temp,3053,218,1016,all
distress,3047,219,1070,all
performed,3041,220,847,all
presents,3040,221,986,all
clinical,3037,222,734,all
inpatient,3036,223,603,all
oriented,3035,224,1041,all
cardiovascular,3028,225,995,all
resp,3026,226,948,all
years,3023,227,931,all
known,3018,228,762,all
ed,3009,229,504,all
hr,2992,230,758,all
week,2985,231,905,all
stable,2983,232,865,all
can,2979,233,918,all
regular,2968,234,1070,all
active,2947,235,942,all
significant,2930,236,863,all
diet,2928,237,739,all
eyes,2910,238,954,all
vitals,2898,239,1016,all
rhythm,2878,240,937,all
dementia,2877,241,526,all
goals,2860,242,559,all
60,2859,243,811,all
bowel,2840,244,883,all
alcohol,2840,244,938,all
subjective,2832,246,877,all
may,2810,247,888,all
calcium,2805,248,868,all
iv,2792,249,626,all
following,2781,250,903,all
states,2776,251,751,all
facility,2773,252,796,all
intake,2740,253,592,all
spo,2730,254,1007,all
outpatient,2726,255,989,all
clear,2725,256,945,all
management,2720,257,758,all
moderate,2716,258,707,all
adult,2711,259,739,all
low,2711,259,774,all
meds,2697,261,707,all
failure,2684,262,430,all
loss,2658,263,765,all
pressure,2650,264,769,all
university,2623,265,830,all
mmol,2620,266,293,all
wbc,2609,267,838,all
imaging,2608,268,729,all
type,2595,269,725,all
post,2581,270,759,all
carolina,2580,271,825,all
able,2571,272,759,all
education,2551,273,813,all
cardiac,2543,274,614,all
since,2535,275,857,all
new,2525,276,849,all
ref,2520,277,409,all
south,2504,278,819,all
impaired,2490,279,410,all
75,2486,280,707,all
15,2485,281,776,all
currently,2461,282,844,all
ua,2461,282,312,all
bun,2448,284,864,all
mental,2448,284,676,all
extremities,2442,286,888,all
9,2441,287,744,all
encounter,2441,287,800,all
18,2432,289,756,all
evidence,2414,290,681,all
vitamin,2409,291,582,all
number,2406,292,839,all
likely,2404,293,682,all
complaint,2375,294,961,all
tenderness,2372,295,687,all
neurological,2367,296,849,all
weakness,2367,296,679,all
81,2360,298,637,all
examination,2357,299,766,all
data,2336,300,714,all
hpi,2329,301,984,all
related,2328,302,750,all
within,2327,303,710,all
knee,2324,304,401,all
list,2318,305,958,all
musculoskeletal,2303,306,814,all
narrative,2300,307,736,all
increased,2299,308,724,all
notes,2296,309,613,all
morning,2294,310,778,all
met,2291,311,473,all
fracture,2281,312,304,all
physician,2278,313,793,all
po,2257,314,553,all
function,2256,315,654,all
artery,2255,316,416,all
daughter,2252,317,411,all
diagnoses,2251,318,610,all
small,2251,318,621,all
good,2243,320,804,all
hemoglobin,2239,321,491,all
chief,2237,322,943,all
change,2231,323,810,all
hx,2221,324,546,all
unable,2217,325,646,all
now,2214,326,815,all
xr,2211,327,516,all
positive,2206,328,720,all
progress,2205,329,660,all
intravenous,2199,330,440,all
objective,2194,331,870,all
kidney,2193,332,450,all
full,2188,333,721,all
interventions,2187,334,463,all
associated,2180,335,609,all
gait,2176,336,640,all
term,2171,337,527,all
attending,2160,338,757,all
please,2154,339,749,all
mass,2153,340,630,all
16,2145,341,709,all
shortness,2134,342,738,all
minutes,2134,342,827,all
appropriate,2125,344,838,all
hgb,2117,345,769,all
qhs,2111,346,423,all
infection,2109,347,562,all
severe,2096,348,598,all
refill,2096,348,805,all
insulin,2088,350,349,all
agree,2088,350,603,all
gi,2078,352,672,all
ap,2075,353,451,all
80,2071,354,656,all
constitutional,2070,355,796,all
psychiatric,2070,355,712,all
cumm,2070,355,202,all
lungs,2062,358,791,all
htn,2057,359,602,all
na,2056,360,804,all
renal,2054,361,411,all
person,2049,362,824,all
mobility,2046,363,371,all
mood,2044,364,768,all
smoking,2041,365,821,all
weeks,2037,366,694,all
stroke,2035,367,413,all
pr,2031,368,347,all
cell,2027,369,464,all
subcutaneous,2022,370,465,all
need,2017,371,777,all
wound,2011,372,368,all
used,1999,373,830,all
upper,1995,374,592,all
balance,1990,375,405,all
mean,1990,375,325,all
hyperlipidemia,1975,377,570,all
collection,1973,378,300,all
sodium,1972,379,654,all
reported,1971,380,567,all
study,1968,381,445,all
questions,1961,382,754,all
months,1959,383,727,all
co,1957,384,777,all
surgeon,1953,385,388,all
bedtime,1944,386,605,all
sex,1937,387,687,all
volume,1933,388,557,all
oz,1928,389,757,all
urine,1928,389,547,all
aspirin,1927,391,624,all
started,1924,392,671,all
elevated,1915,393,598,all
safety,1910,394,483,all
u,1909,395,559,all
one,1899,396,715,all
clinic,1898,397,624,all
taken,1895,398,506,all
high,1891,399,639,all
nausea,1889,400,652,all
sit,1881,401,341,all
cervical,1880,402,570,all
leg,1875,403,536,all
old,1860,404,741,all
self,1859,405,614,all
breakfast,1858,406,569,all
improved,1855,407,658,all
appearance,1855,407,692,all
hip,1849,409,333,all
room,1845,410,617,all
hcc,1844,411,141,all
lung,1843,412,437,all
swelling,1839,413,595,all
e,1837,414,537,all
mother,1837,414,548,all
70,1835,416,615,all
assist,1834,417,374,all
ago,1833,418,683,all
transition,1817,419,494,all
contact,1813,420,670,all
cough,1808,421,625,all
concern,1808,421,804,all
drug,1804,423,790,all
lesions,1792,424,630,all
extended,1789,425,591,all
absence,1786,426,484,all
signed,1784,427,425,all
atrial,1783,428,295,all
relative,1780,429,261,all
delayed,1777,430,645,all
baseline,1776,431,533,all
motion,1775,432,621,all
including,1763,433,716,all
placed,1754,434,674,all
dry,1753,435,765,all
mri,1750,436,393,all
percent,1746,437,241,all
scheduled,1738,438,726,all
acetaminophen,1734,439,574,all
plt,1731,440,748,all
reason,1726,441,604,all
electronically,1722,442,289,all
neuro,1715,443,656,all
multiple,1714,444,589,all
pertinent,1712,445,673,all
work,1706,446,671,all
long,1704,447,661,all
completed,1699,448,671,all
arm,1696,449,591,all
decreased,1696,449,584,all
vascular,1683,451,467,all
extremity,1682,452,466,all
monitor,1679,453,608,all
tube,1679,453,191,all
abnormal,1677,455,519,all
wt,1673,456,806,all
smokeless,1671,457,839,all
injection,1671,457,463,all
optimal,1671,457,384,all
food,1666,460,594,all
summary,1664,461,654,all
sitting,1659,462,511,all
effort,1658,463,667,all
output,1651,464,428,all
ast,1651,464,738,all
functional,1650,466,443,all
red,1648,467,419,all
nursing,1643,468,580,all
bilaterally,1643,468,663,all
sig,1637,470,765,all
unit,1636,471,592,all
alt,1635,472,739,all
specific,1630,473,589,all
19,1629,474,550,all
body,1627,475,557,all
control,1623,476,575,all
start,1623,476,719,all
frequency,1623,476,674,all
bedside,1623,476,515,all
course,1619,480,724,all
hour,1616,481,623,all
like,1615,482,694,all
recommendations,1612,483,612,all
test,1611,484,517,all
absolute,1609,485,215,all
side,1607,486,592,all
focal,1606,487,673,all
urinary,1602,488,462,all
previous,1601,489,643,all
information,1599,490,662,all
consult,1595,491,461,all
rash,1594,492,603,all
appears,1591,493,684,all
neg,1591,493,262,all
chair,1587,495,389,all
short,1580,496,511,all
services,1578,497,534,all
fluid,1575,498,474,all
portable,1574,499,336,all
possible,1570,500,617,all
coronary,1568,501,342,all
bleeding,1565,502,493,all
light,1563,503,682,all
bmi,1562,504,746,all
brain,1559,505,347,all
sleep,1553,506,474,all
17,1549,507,536,all
difficulty,1544,508,629,all
max,1537,509,305,all
administered,1537,509,667,all
return,1536,511,711,all
onset,1536,511,673,all
fever,1535,513,651,all
stenosis,1534,514,310,all
admitted,1523,515,558,all
standing,1522,516,397,all
eye,1516,517,479,all
cl,1512,518,712,all
sexual,1506,519,527,all
unspecified,1504,520,467,all
normocephalic,1503,521,778,all
72,1496,522,513,all
atraumatic,1492,523,750,all
transfer,1491,524,388,all
motor,1488,525,511,all
cognitive,1488,525,487,all
aortic,1487,527,277,all
complete,1486,528,611,all
comparison,1482,529,388,all
affect,1478,530,733,all
spine,1478,530,306,all
medicine,1462,532,604,all
get,1460,533,690,all
topics,1460,533,702,all
memory,1458,535,432,all
pharmacy,1457,536,345,all
speech,1453,537,471,all
id,1452,538,570,all
joint,1446,539,524,all
warm,1440,540,720,all
vital,1438,541,605,all
transportation,1435,542,524,all
provided,1434,543,591,all
comment,1433,544,547,all
vomiting,1433,544,577,all
indicates,1432,546,741,all
stress,1422,547,525,all
hct,1421,548,667,all
breast,1417,549,242,all
ordered,1414,550,527,all
nutrition,1410,551,276,all
ear,1408,552,362,all
concerns,1407,553,623,all
ms,1407,553,505,all
muscle,1407,553,578,all
obtained,1405,556,600,all
mellitus,1405,556,360,all
white,1404,558,531,all
aware,1404,558,509,all
dictated,1402,560,387,all
comfort,1402,560,421,all
using,1395,562,591,all
pager,1393,563,426,all
14,1389,564,566,all
father,1387,565,475,all
showed,1385,566,514,all
received,1384,567,553,all
thyroid,1374,568,458,all
order,1373,569,514,all
discontinued,1368,570,352,all
ot,1366,571,320,all
placement,1359,572,407,all
laterality,1357,573,702,all
code,1352,574,453,all
wo,1349,575,361,all
98,1348,576,631,all
dispense,1344,577,659,all
score,1342,578,409,all
ros,1341,579,531,all
however,1339,580,559,all
precautions,1338,581,493,all
potassium,1336,582,515,all
corpuscular,1335,583,268,all
covid,1334,584,332,all
anemia,1332,585,352,all
albumin,1327,586,603,all
height,1318,587,662,all
refills,1318,587,320,all
hent,1318,587,550,all
65,1317,590,486,all
night,1317,590,592,all
panel,1312,592,497,all
atorvastatin,1311,593,445,all
developed,1310,594,686,all
spouse,1308,595,637,all
sent,1306,596,565,all
bladder,1304,597,369,all
wife,1303,598,256,all
intervention,1303,598,420,all
valve,1302,600,167,all
lateral,1297,601,381,all
ischemic,1296,602,289,all
metoprolol,1295,603,342,all
depression,1292,604,476,all
team,1284,605,465,all
occupational,1280,606,646,all
living,1276,607,470,all
foot,1266,608,270,all
limited,1265,609,481,all
fibrillation,1262,610,225,all
progessing,1261,611,74,all
disposition,1257,612,538,all
pneumonia,1257,612,267,all
pending,1253,614,497,all
first,1247,615,584,all
rehab,1246,616,315,all
chloride,1245,617,527,all
additional,1243,618,546,all
supine,1241,619,312,all
pulses,1239,620,566,all
mm,1239,620,357,all
diarrhea,1239,620,527,all
anxiety,1232,623,424,all
signature,1232,623,198,all
magnesium,1230,625,392,all
hearing,1229,626,435,all
gastrointestinal,1228,627,633,all
heent,1223,628,614,all
shoulder,1221,629,305,all
meals,1215,630,429,all
main,1215,630,374,all
therapeutic,1215,630,359,all
stage,1213,633,335,all
strength,1212,634,544,all
less,1211,635,515,all
issues,1211,635,567,all
secondary,1210,637,474,all
deficits,1210,637,508,all
sinus,1210,637,438,all
face,1206,640,421,all
cardiology,1203,641,309,all
nose,1201,642,534,all
next,1196,643,537,all
exercise,1195,644,406,all
disorder,1195,644,379,all
repeat,1193,646,505,all
poor,1193,646,448,all
22,1190,648,497,all
initial,1186,649,461,all
help,1184,650,504,all
size,1183,651,461,all
pelvis,1181,652,248,all
carotid,1180,653,334,all
metabolic,1180,653,498,all
venous,1180,653,290,all
check,1173,656,548,all
details,1171,657,506,all
inr,1169,658,387,all
continued,1169,658,501,all
whole,1167,660,230,all
colonoscopy,1166,661,321,all
son,1162,662,286,all
condition,1160,663,548,all
hdl,1158,664,509,all
procedures,1156,665,642,all
gerd,1155,666,364,all
behavioral,1154,667,461,all
behavior,1152,668,404,all
amlodipine,1151,669,381,all
done,1150,670,565,all
substance,1150,670,613,all
based,1148,672,497,all
much,1146,673,490,all
stand,1145,674,303,all
mod,1143,675,260,all
tablets,1141,676,439,all
referral,1139,677,475,all
throughout,1138,678,493,all
area,1137,679,463,all
unremarkable,1137,679,392,all
dizziness,1135,681,445,all
technique,1135,681,390,all
posterior,1134,683,396,all
ht,1133,684,645,all
chills,1133,684,596,all
throat,1133,684,542,all
rounds,1132,687,466,all
otherwise,1130,688,575,all
nasal,1130,688,399,all
supple,1129,690,641,all
phone,1124,691,543,all
tsh,1123,692,506,all
still,1123,692,575,all
pcp,1121,694,566,all
dressing,1121,694,333,all
pf,1120,696,398,all
biopsy,1114,697,282,all
orders,1110,698,518,all
stated,1108,699,499,all
office,1108,699,498,all
assistance,1107,701,385,all
pre,1105,702,449,all
air,1103,703,450,all
med,1103,703,382,all
lesion,1102,705,348,all
29,1100,706,512,all
position,1099,707,536,all
cooperative,1098,708,497,all
acquired,1095,709,432,all
psa,1094,710,130,all
pleural,1092,711,279,all
peripheral,1092,711,426,all
tested,1090,713,153,all
complaints,1088,714,586,all
support,1088,714,435,all
sister,1087,716,299,all
masses,1086,717,479,all
month,1085,718,487,all
reflux,1085,718,372,all
protein,1083,720,410,all
sc,1082,721,501,all
studies,1081,722,555,all
perform,1080,723,407,all
vision,1078,724,432,all
cells,1076,725,355,all
twice,1073,726,432,all
systolic,1073,726,325,all
platelet,1071,728,340,all
controlled,1068,729,435,all
screening,1067,730,340,all
smoker,1065,731,553,all
eating,1065,731,480,all
impairment,1064,733,292,all
arthritis,1062,734,364,all
free,1058,735,433,all
via,1057,736,485,all
qty,1056,737,212,all
recommend,1050,738,473,all
cbc,1050,738,494,all
altered,1048,740,243,all
equipment,1047,741,383,all
dm,1044,742,306,all
icd,1044,742,171,all
effusion,1044,742,323,all
response,1044,742,383,all
lobe,1043,746,230,all
activities,1043,746,451,all
center,1041,748,500,all
copd,1039,749,212,all
le,1038,750,355,all
radiology,1036,751,529,all
pupils,1031,752,476,all
emergency,1030,753,349,all
uti,1030,753,258,all
relation,1027,755,552,all
fatigue,1025,756,471,all
available,1025,756,539,all
ventricular,1025,756,242,all
cva,1024,759,287,all
35,1024,759,523,all
alkphos,1020,761,553,all
around,1015,762,520,all
episode,1015,762,429,all
two,1014,764,404,all
iron,1009,765,260,all
commonly,1008,766,102,all
wall,1007,767,357,all
examined,1007,767,564,all
poc,1006,769,305,all
ng,1005,770,251,all
mr,1004,771,386,all
23,1004,771,429,all
tolerated,1004,771,518,all
factors,1001,774,355,all
midline,1001,774,447,all
solution,1001,774,336,all
wheezing,1001,774,477,all
resolved,1000,778,407,all
hospice,998,779,113,all
nurse,997,780,481,all
anterior,996,781,326,all
better,995,782,486,all
lasix,995,782,254,all
future,994,784,366,all
ekg,994,784,343,all
26,993,786,406,all
cms,992,787,110,all
hematuria,991,788,372,all
albuterol,990,789,273,all
gross,981,790,477,all
v,980,791,406,all
cc,980,791,443,all
abnormality,977,793,392,all
97,977,793,517,all
commands,974,795,396,all
45,974,795,420,all
grossly,973,797,482,all
catheter,972,798,218,all
visual,969,799,413,all
coordination,967,800,423,all
mmhg,967,800,257,all
unknown,967,800,358,all
point,966,803,488,all
thought,965,804,371,all
psych,964,805,470,all
flowsheets,964,805,154,all
worsening,963,807,403,all
regarding,962,808,501,all
mcv,962,808,484,all
lying,961,810,404,all
indication,961,810,362,all
dinner,961,810,353,all
previously,960,813,438,all
hand,960,813,292,all
updated,958,815,503,all
breathing,957,816,434,all
21,957,816,369,all
includes,954,818,465,all
reach,953,819,421,all
upon,953,819,425,all
children,952,821,587,all
13,951,822,431,all
constipation,951,822,440,all
prostate,950,824,181,all
acid,947,825,346,all
movements,946,826,430,all
j,946,826,305,all
sensation,945,828,450,all
presented,945,828,422,all
murmur,944,830,521,all
appointment,943,831,365,all
training,941,832,301,all
confusion,941,832,342,all
continuous,940,834,463,all
dextrose,938,835,238,all
large,937,836,358,all
sob,937,836,427,all
consulted,935,838,331,all
appearing,932,839,465,all
liver,932,839,231,all
dvt,932,839,352,all
include,931,842,398,all
treated,930,843,466,all
identified,929,844,335,all
cad,929,844,243,all
session,928,846,353,all
recently,927,847,481,all
awake,922,848,446,all
diagnostic,922,848,491,all
medicare,921,850,402,all
culture,919,851,267,all
instructions,919,851,446,all
individualization,918,853,411,all
referring,918,853,496,all
case,918,853,463,all
testing,917,856,414,all
codes,917,856,302,all
recommended,917,856,465,all
marital,916,859,550,all
lumbar,911,860,199,all
falls,908,861,341,all
adequate,906,862,235,all
palpitations,905,863,458,all
independent,901,864,301,all
consistent,901,864,415,all
fl,900,866,279,all
nontender,899,867,461,all
setting,897,868,375,all
lipitor,894,869,384,all
troponin,893,870,210,all
site,892,871,345,all
orientation,892,871,413,all
equal,891,873,509,all
er,889,874,331,all
called,889,874,453,all
device,886,876,313,all
gram,884,877,289,all
neurology,881,878,249,all
chart,881,878,455,all
99,880,880,438,all
discharged,880,880,449,all
reactions,879,882,451,all
wellbeing,878,883,353,all
yesterday,876,884,406,all
96,876,884,457,all
allergen,876,884,461,all
symmetric,875,887,372,all
index,875,887,395,all
apply,872,889,294,all
egfr,872,889,415,all
tender,871,891,495,all
input,868,892,242,all
brother,867,893,266,all
distal,866,894,319,all
feet,865,895,324,all
voice,864,896,313,all
except,864,896,442,all
increase,864,896,426,all
nourished,862,899,542,all
lives,862,899,393,all
readiness,862,899,367,all
benign,861,902,358,all
us,859,903,391,all
dc,858,904,313,all
intracranial,857,905,272,all
tylenol,857,905,398,all
infusion,856,907,236,all
hemorrhage,855,908,266,all
facial,854,909,294,all
colon,854,909,256,all
tid,852,911,292,all
repair,852,911,250,all
go,851,913,480,all
aspiration,850,914,194,all
external,850,914,371,all
overall,846,916,459,all
prot,845,917,461,all
specialty,844,918,58,all
follows,843,919,435,all
eliquis,842,920,152,all
hernia,841,921,253,all
continues,840,922,442,all
spoke,839,923,423,all
hold,839,923,324,all
department,838,925,455,all
presenting,838,925,400,all
68,838,925,348,all
dob,837,928,502,all
tissue,837,928,279,all
gm,837,928,233,all
made,835,931,490,all
ankle,834,932,228,all
radiation,833,933,256,all
changed,829,934,468,all
yellow,828,935,377,all
genitourinary,828,935,447,all
essential,825,937,318,all
74,823,938,365,all
internal,822,939,350,all
moist,817,940,494,all
hhs,815,941,133,all
dysphagia,811,942,256,all
little,809,943,320,all
several,807,944,413,all
cv,806,945,420,all
ckd,806,945,218,all
tongue,805,947,352,all
encephalopathy,805,947,191,all
ue,804,949,198,all
required,803,950,408,all
resident,802,951,322,all
lisinopril,802,951,246,all
minimal,801,953,384,all
greater,798,954,400,all
gastroesophageal,798,954,311,all
ondansetron,796,956,299,all
seconds,795,957,263,all
hospitalization,792,958,423,all
chol,791,959,447,all
sided,791,959,244,all
re,790,961,418,all
charleston,789,962,323,all
hgba,787,963,446,all
scan,787,963,347,all
feels,787,963,457,all
seizure,787,963,161,all
asked,786,967,327,all
tests,786,967,406,all
husband,786,967,211,all
conference,784,970,346,all
reactive,784,970,454,all
69,782,972,313,all
syncope,779,973,272,all
fww,778,974,164,all
st,776,975,348,all
aspart,775,976,191,all
bone,775,976,249,all
judgment,774,978,433,all
proximal,772,979,227,all
discuss,772,979,411,all
staff,771,981,305,all
antibiotics,771,981,328,all
meq,770,983,197,all
walker,769,984,280,all
content,769,984,339,all
shows,768,986,374,all
records,768,986,362,all
base,767,988,338,all
cranial,767,988,397,all
transfers,767,988,275,all
consciousness,766,991,412,all
tone,766,991,381,all
spent,765,993,410,all
question,764,994,247,all
established,764,994,368,all
95,763,996,382,all
view,761,997,251,all
feeling,760,998,417,all
nad,759,999,419,all
adenopathy,758,1000,398,all
round,758,1000,438,all
language,756,1002,280,all
79,756,1002,278,all
nitrite,756,1002,438,all
rest,756,1002,349,all
supervision,756,1002,214,all
trig,755,1007,429,all
rales,755,1007,459,all
consider,755,1007,394,all
least,754,1010,378,all
estimated,753,1011,350,all
neurologic,753,1011,440,all
movement,753,1011,373,all
understanding,752,1014,392,all
process,750,1015,327,all
wnl,748,1016,260,all
evaluated,747,1017,409,all
pmh,747,1017,395,all
aki,745,1019,194,all
78,745,1019,331,all
spray,745,1019,214,all
monitoring,744,1022,390,all
discussion,744,1022,373,all
rrr,743,1024,424,all
27,742,1025,332,all
oxygen,741,1026,256,all
swallow,738,1027,160,all
slp,734,1028,147,all
cpg,734,1028,114,all
op,733,1030,283,all
76,732,1031,326,all
vs,727,1032,319,all
confused,726,1033,302,all
dialysis,725,1034,87,all
images,725,1034,333,all
fair,724,1036,271,all
actuation,724,1036,263,all
replacement,723,1038,265,all
tempsrc,722,1039,441,all
deficit,722,1039,362,all
jvd,720,1041,433,all
urobilinogen,719,1042,427,all
historical,719,1042,108,all
single,718,1044,331,all
removed,718,1044,339,all
heparin,718,1044,183,all
filed,717,1047,397,all
obstructive,717,1047,230,all
lymphadenopathy,716,1049,412,all
docusate,716,1049,281,all
infusions,715,1051,416,all
dysuria,715,1051,371,all
bolus,714,1053,241,all
norvasc,714,1053,321,all
influenza,714,1053,181,all
cta,712,1056,263,all
end,712,1056,332,all
pantoprazole,712,1056,281,all
provide,711,1059,360,all
frontal,708,1060,228,all
personal,708,1060,365,all
assess,708,1060,320,all
housing,707,1063,265,all
improvement,706,1064,356,all
pleasant,706,1064,380,all
rashes,706,1064,423,all
attack,705,1067,181,all
stopping,704,1068,198,all
hypothyroidism,704,1068,186,all
82,704,1068,276,all
cholesterol,703,1071,256,all
overnight,702,1072,323,all
arterial,702,1072,152,all
potential,702,1072,314,all
losartan,702,1072,209,all
color,701,1076,379,all
delirium,701,1076,175,all
interval,700,1078,340,all
avg,699,1079,171,all
sensory,698,1080,338,all
route,698,1080,253,all
financial,697,1082,411,all
28,696,1083,324,all
levothyroxine,696,1083,219,all
temperature,696,1083,315,all
auscultation,695,1086,452,all
cga,695,1086,184,all
85,694,1088,297,all
make,694,1088,388,all
strain,692,1090,403,all
dyspnea,691,1091,336,all
gabapentin,691,1091,240,all
generalized,690,1093,274,all
became,690,1093,394,all
mitral,685,1095,118,all
starting,685,1095,261,all
71,685,1095,299,all
events,684,1098,333,all
67,684,1098,293,all
63,684,1098,304,all
np,683,1101,196,all
foley,683,1101,182,all
making,682,1103,316,all
barriers,681,1104,351,all
agitation,680,1105,207,all
remains,679,1106,345,all
system,679,1106,324,all
verbal,679,1106,307,all
hld,678,1109,240,all
flow,677,1110,205,all
abnormalities,676,1111,322,all
diastolic,676,1111,227,all
metformin,676,1111,183,all
followed,675,1114,355,all
initiated,675,1114,374,all
disturbance,674,1116,270,all
complex,674,1116,287,all
rom,673,1118,319,all
open,672,1119,295,all
absent,672,1119,213,all
group,671,1121,181,all
73,670,1122,272,all
documentation,668,1123,369,all
shift,668,1123,265,all
77,668,1123,303,all
rectal,668,1123,192,all
wheelchair,667,1127,229,all
decision,667,1127,319,all
urology,667,1127,147,all
insecurity,665,1130,378,all
referred,665,1130,333,all
unchanged,663,1132,282,all
palliative,661,1133,119,all
water,661,1133,335,all
exercises,661,1133,322,all
64,658,1136,292,all
hospitalist,656,1137,280,all
temporal,656,1137,247,all
lymph,655,1139,276,all
married,654,1140,374,all
attends,653,1141,231,all
sign,651,1142,285,all
hematocrit,647,1143,343,all
resource,647,1143,394,all
pa,646,1145,254,all
ii,645,1146,325,all
