feature,frequency,rank,docfreq,group
cumm,1122,385,1,ADRD
breakfast,1113,386,1,ADRD
acetaminophen,1111,387,1,ADRD
dictated,1110,388,1,ADRD
good,1104,389,1,ADRD
urine,1101,390,1,ADRD
progessing,1100,391,1,ADRD
ischemic,1098,392,1,ADRD
aspirin,1095,393,1,ADRD
started,1094,394,1,ADRD
arm,1093,395,1,ADRD
fluid,1093,395,1,ADRD
examination,1088,397,1,ADRD
nutrition,1085,398,1,ADRD
placed,1084,399,1,ADRD
hx,1083,400,1,ADRD
neuro,1080,401,1,ADRD
ot,1077,402,1,ADRD
vascular,1075,403,1,ADRD
wo,1071,404,1,ADRD
code,1068,405,1,ADRD
19,1067,406,1,ADRD
long,1063,407,1,ADRD
person,1062,408,1,ADRD
17,1060,409,1,ADRD
course,1060,409,1,ADRD
rehab,1060,409,1,ADRD
mri,1056,412,1,ADRD
new,1056,412,1,ADRD
lungs,1056,412,1,ADRD
monitor,1055,415,1,ADRD
signature,1052,416,1,ADRD
since,1047,417,1,ADRD
alcohol,1044,418,1,ADRD
disposition,1043,419,1,ADRD
complaint,1042,420,1,ADRD
refills,1040,421,1,ADRD
need,1037,422,1,ADRD
presents,1036,423,1,ADRD
bedtime,1035,424,1,ADRD
multiple,1034,425,1,ADRD
atrial,1030,426,1,ADRD
decreased,1027,427,1,ADRD
vitamin,1020,428,1,ADRD
aware,1018,429,1,ADRD
pager,1018,429,1,ADRD
percent,1016,431,1,ADRD
standing,1009,432,1,ADRD
tobacco,1008,433,1,ADRD
mass,1007,434,1,ADRD
qty,1005,435,1,ADRD
pneumonia,1001,436,1,ADRD
change,1000,437,1,ADRD
scheduled,999,438,1,ADRD
work,997,439,1,ADRD
whole,996,440,1,ADRD
supine,990,441,1,ADRD
altered,986,442,1,ADRD
placement,983,443,1,ADRD
precautions,981,444,1,ADRD
relative,978,445,1,ADRD
cancer,975,446,1,ADRD
pertinent,972,447,1,ADRD
wife,971,448,1,ADRD
speech,970,449,1,ADRD
positive,967,450,1,ADRD
chief,964,451,1,ADRD
hip,962,452,1,ADRD
rounds,962,452,1,ADRD
hospice,961,454,1,ADRD
cell,961,454,1,ADRD
cl,957,456,1,ADRD
e,956,457,1,ADRD
services,954,458,1,ADRD
motor,946,459,1,ADRD
urinary,944,460,1,ADRD
possible,944,460,1,ADRD
alt,942,462,1,ADRD
ast,940,463,1,ADRD
extremity,940,463,1,ADRD
start,937,465,1,ADRD
psychiatric,936,466,1,ADRD
high,933,467,1,ADRD
unit,932,468,1,ADRD
white,926,469,1,ADRD
stenosis,926,469,1,ADRD
impairment,921,471,1,ADRD
oz,920,472,1,ADRD
hct,920,472,1,ADRD
mod,920,472,1,ADRD
appears,919,475,1,ADRD
completed,919,475,1,ADRD
old,917,477,1,ADRD
pleural,916,478,1,ADRD
years,916,478,1,ADRD
focal,914,480,1,ADRD
team,911,481,1,ADRD
intervention,905,482,1,ADRD
u,903,483,1,ADRD
appearance,900,484,1,ADRD
70,896,485,1,ADRD
poor,895,486,1,ADRD
control,891,487,1,ADRD
please,888,488,1,ADRD
complete,888,488,1,ADRD
injection,886,490,1,ADRD
contact,886,490,1,ADRD
provided,885,492,1,ADRD
son,883,493,1,ADRD
neurological,880,494,1,ADRD
therapeutic,879,495,1,ADRD
delayed,876,496,1,ADRD
previous,875,497,1,ADRD
red,874,498,1,ADRD
concern,868,499,1,ADRD
unspecified,868,499,1,ADRD
commonly,858,501,1,ADRD
received,853,502,1,ADRD
information,852,503,1,ADRD
extended,852,503,1,ADRD
acquired,850,505,1,ADRD
continued,850,505,1,ADRD
pending,850,505,1,ADRD
cooperative,850,505,1,ADRD
details,846,509,1,ADRD
covid,845,510,1,ADRD
limited,843,511,1,ADRD
reported,842,512,1,ADRD
mood,840,513,1,ADRD
commands,840,513,1,ADRD
shortness,839,515,1,ADRD
vital,838,516,1,ADRD
stand,835,517,1,ADRD
assistance,829,518,1,ADRD
discontinued,829,518,1,ADRD
bilaterally,828,520,1,ADRD
dextrose,827,521,1,ADRD
secondary,826,522,1,ADRD
anemia,824,523,1,ADRD
aortic,819,524,1,ADRD
atorvastatin,817,525,1,ADRD
meals,817,525,1,ADRD
deficits,815,527,1,ADRD
technique,812,528,1,ADRD
14,812,528,1,ADRD
absolute,812,528,1,ADRD
however,811,531,1,ADRD
abnormal,810,532,1,ADRD
22,809,533,1,ADRD
perform,808,534,1,ADRD
id,808,534,1,ADRD
pelvis,806,536,1,ADRD
flowsheets,803,537,1,ADRD
lobe,802,538,1,ADRD
lying,801,539,1,ADRD
confusion,801,539,1,ADRD
potassium,800,541,1,ADRD
dressing,799,542,1,ADRD
air,797,543,1,ADRD
living,796,544,1,ADRD
72,795,545,1,ADRD
body,794,546,1,ADRD
including,794,546,1,ADRD
difficulty,793,548,1,ADRD
response,790,549,1,ADRD
magnesium,787,550,1,ADRD
medicine,787,550,1,ADRD
aspiration,785,552,1,ADRD
29,785,552,1,ADRD
frequency,784,554,1,ADRD
tenderness,784,554,1,ADRD
dry,782,556,1,ADRD
comment,782,556,1,ADRD
consulted,782,556,1,ADRD
hpi,780,559,1,ADRD
effusion,780,559,1,ADRD
uti,777,561,1,ADRD
order,776,562,1,ADRD
individualization,773,563,1,ADRD
equipment,773,563,1,ADRD
nausea,771,565,1,ADRD
corpuscular,771,565,1,ADRD
chloride,770,567,1,ADRD
cva,767,568,1,ADRD
continuous,766,569,1,ADRD
albumin,766,569,1,ADRD
poc,765,571,1,ADRD
throughout,761,572,1,ADRD
wt,760,573,1,ADRD
fibrillation,759,574,1,ADRD
venous,759,574,1,ADRD
leg,757,576,1,ADRD
behavioral,757,576,1,ADRD
based,757,576,1,ADRD
side,756,579,1,ADRD
98,752,580,1,ADRD
light,751,581,1,ADRD
reach,751,581,1,ADRD
questions,750,583,1,ADRD
intracranial,750,583,1,ADRD
orientation,750,583,1,ADRD
initial,746,586,1,ADRD
ng,744,587,1,ADRD
weeks,743,588,1,ADRD
showed,743,588,1,ADRD
used,742,590,1,ADRD
encephalopathy,742,590,1,ADRD
wellbeing,740,592,1,ADRD
coronary,740,592,1,ADRD
training,740,592,1,ADRD
hyperlipidemia,739,595,1,ADRD
pr,734,596,1,ADRD
musculoskeletal,733,597,1,ADRD
dc,732,598,1,ADRD
position,730,599,1,ADRD
resolved,729,600,1,ADRD
catheter,724,601,1,ADRD
obtained,723,602,1,ADRD
via,721,603,1,ADRD
valve,719,604,1,ADRD
first,719,604,1,ADRD
adequate,718,606,1,ADRD
surgeon,718,606,1,ADRD
food,715,608,1,ADRD
sleep,712,609,1,ADRD
cervical,707,610,1,ADRD
metoprolol,706,611,1,ADRD
culture,706,611,1,ADRD
awake,704,613,1,ADRD
stage,702,614,1,ADRD
disorder,701,615,1,ADRD
tid,700,616,1,ADRD
radiology,698,617,1,ADRD
cardiology,698,617,1,ADRD
height,696,619,1,ADRD
mm,696,619,1,ADRD
support,696,619,1,ADRD
one,695,622,1,ADRD
stated,694,623,1,ADRD
condition,693,624,1,ADRD
hemorrhage,692,625,1,ADRD
readiness,692,625,1,ADRD
spine,692,625,1,ADRD
65,691,628,1,ADRD
heent,689,629,1,ADRD
upon,689,629,1,ADRD
inr,687,631,1,ADRD
presented,687,631,1,ADRD
unremarkable,686,633,1,ADRD
slp,685,634,1,ADRD
abnormality,682,635,1,ADRD
codes,680,636,1,ADRD
score,680,636,1,ADRD
pf,678,638,1,ADRD
delirium,678,638,1,ADRD
35,677,640,1,ADRD
size,675,641,1,ADRD
confused,675,641,1,ADRD
get,673,643,1,ADRD
ms,673,643,1,ADRD
indicates,671,645,1,ADRD
sent,670,646,1,ADRD
much,670,646,1,ADRD
setting,670,646,1,ADRD
discharged,670,646,1,ADRD
transportation,669,650,1,ADRD
lateral,668,651,1,ADRD
gross,665,652,1,ADRD
atraumatic,665,652,1,ADRD
concerns,663,654,1,ADRD
ventricular,663,654,1,ADRD
cms,663,654,1,ADRD
23,662,657,1,ADRD
nurse,661,658,1,ADRD
protein,661,658,1,ADRD
warm,660,660,1,ADRD
aki,660,660,1,ADRD
strength,659,662,1,ADRD
alkphos,654,663,1,ADRD
session,654,663,1,ADRD
metabolic,653,665,1,ADRD
cough,652,666,1,ADRD
activities,651,667,1,ADRD
aspart,650,668,1,ADRD
tolerated,648,669,1,ADRD
knee,647,670,1,ADRD
center,647,670,1,ADRD
med,646,672,1,ADRD
conference,645,673,1,ADRD
ago,645,673,1,ADRD
neurology,644,675,1,ADRD
indication,644,675,1,ADRD
less,643,677,1,ADRD
yesterday,643,677,1,ADRD
infusion,642,679,1,ADRD
fww,642,679,1,ADRD
26,641,681,1,ADRD
cpg,641,681,1,ADRD
mellitus,640,683,1,ADRD
ordered,640,683,1,ADRD
constitutional,638,685,1,ADRD
spouse,638,685,1,ADRD
anxiety,636,687,1,ADRD
return,636,687,1,ADRD
eating,635,689,1,ADRD
night,634,690,1,ADRD
wall,632,691,1,ADRD
bleeding,632,691,1,ADRD
changed,632,691,1,ADRD
episode,632,691,1,ADRD
case,632,691,1,ADRD
dvt,631,696,1,ADRD
mcv,630,697,1,ADRD
stopping,630,697,1,ADRD
palliative,629,699,1,ADRD
seizure,629,699,1,ADRD
swelling,626,701,1,ADRD
posterior,625,702,1,ADRD
cells,624,703,1,ADRD
drug,623,704,1,ADRD
normocephalic,621,705,1,ADRD
21,621,705,1,ADRD
heparin,621,705,1,ADRD
administered,617,708,1,ADRD
bmi,616,709,1,ADRD
transfers,616,709,1,ADRD
occupational,614,711,1,ADRD
vomiting,613,712,1,ADRD
le,613,712,1,ADRD
pre,612,714,1,ADRD
motion,612,714,1,ADRD
unknown,612,714,1,ADRD
using,611,717,1,ADRD
staff,610,718,1,ADRD
language,610,718,1,ADRD
input,610,718,1,ADRD
systolic,610,718,1,ADRD
supervision,609,722,1,ADRD
consciousness,607,723,1,ADRD
agitation,606,724,1,ADRD
tsh,605,725,1,ADRD
mmhg,605,725,1,ADRD
additional,604,727,1,ADRD
recommend,601,728,1,ADRD
swallow,600,729,1,ADRD
infusions,599,730,1,ADRD
psych,599,730,1,ADRD
hospitalization,599,730,1,ADRD
falls,598,733,1,ADRD
fever,598,733,1,ADRD
platelet,597,735,1,ADRD
smoking,596,736,1,ADRD
midline,596,736,1,ADRD
pcp,596,736,1,ADRD
effort,595,739,1,ADRD
emergency,594,740,1,ADRD
shift,594,740,1,ADRD
lasix,592,742,1,ADRD
repeat,591,743,1,ADRD
depression,590,744,1,ADRD
carotid,590,744,1,ADRD
neg,590,744,1,ADRD
help,588,747,1,ADRD
13,588,747,1,ADRD
prot,588,747,1,ADRD
sexual,587,750,1,ADRD
troponin,584,751,1,ADRD
97,583,752,1,ADRD
cga,583,752,1,ADRD
follows,576,754,1,ADRD
iron,576,754,1,ADRD
ue,571,756,1,ADRD
worsening,570,757,1,ADRD
dysphagia,570,757,1,ADRD
muscle,570,757,1,ADRD
overnight,569,760,1,ADRD
view,569,760,1,ADRD
historical,569,760,1,ADRD
procedures,568,763,1,ADRD
ondansetron,568,763,1,ADRD
large,568,763,1,ADRD
available,567,766,1,ADRD
45,566,767,1,ADRD
frontal,566,767,1,ADRD
99,566,767,1,ADRD
visual,565,770,1,ADRD
eye,565,770,1,ADRD
amlodipine,564,772,1,ADRD
arterial,564,772,1,ADRD
factors,562,774,1,ADRD
still,562,774,1,ADRD
complaints,562,774,1,ADRD
identified,561,777,1,ADRD
like,559,778,1,ADRD
studies,559,778,1,ADRD
husband,559,778,1,ADRD
issues,558,781,1,ADRD
solution,558,781,1,ADRD
examined,558,781,1,ADRD
independent,557,784,1,ADRD
spoke,557,784,1,ADRD
walker,557,784,1,ADRD
hold,553,787,1,ADRD
copd,551,788,1,ADRD
point,550,789,1,ADRD
96,550,789,1,ADRD
gm,549,791,1,ADRD
phone,547,792,1,ADRD
dinner,546,793,1,ADRD
avg,544,794,1,ADRD
affect,543,795,1,ADRD
onset,542,796,1,ADRD
fl,542,796,1,ADRD
albuterol,541,798,1,ADRD
bladder,540,799,1,ADRD
hospitalist,540,799,1,ADRD
gram,539,801,1,ADRD
acid,539,801,1,ADRD
sinus,539,801,1,ADRD
became,539,801,1,ADRD
dialysis,538,805,1,ADRD
grossly,536,806,1,ADRD
v,535,807,1,ADRD
cues,534,808,1,ADRD
yellow,533,809,1,ADRD
desired,533,809,1,ADRD
fair,533,809,1,ADRD
bolus,531,812,1,ADRD
medicare,530,813,1,ADRD
atelectasis,529,814,1,ADRD
little,529,814,1,ADRD
hhs,528,816,1,ADRD
minimal,527,817,1,ADRD
cad,526,818,1,ADRD
tempsrc,525,819,1,ADRD
eliquis,525,819,1,ADRD
pulses,522,821,1,ADRD
process,522,821,1,ADRD
called,522,821,1,ADRD
dm,521,824,1,ADRD
otherwise,520,825,1,ADRD
ht,519,826,1,ADRD
behavior,517,827,1,ADRD
barriers,517,827,1,ADRD
wnl,517,827,1,ADRD
smokeless,516,830,1,ADRD
ckd,516,830,1,ADRD
group,516,830,1,ADRD
test,515,833,1,ADRD
orders,515,833,1,ADRD
established,515,833,1,ADRD
docusate,514,836,1,ADRD
required,513,837,1,ADRD
seroquel,512,838,1,ADRD
recommended,512,838,1,ADRD
tylenol,511,840,1,ADRD
peripheral,511,840,1,ADRD
events,510,842,1,ADRD
breathing,509,843,1,ADRD
free,508,844,1,ADRD
nitrite,508,844,1,ADRD
95,508,844,1,ADRD
wheelchair,507,847,1,ADRD
laterality,507,847,1,ADRD
diagnostic,506,849,1,ADRD
cerebral,505,850,1,ADRD
tissue,503,851,1,ADRD
hd,501,852,1,ADRD
provide,499,853,1,ADRD
payor,498,854,1,ADRD
ekg,498,854,1,ADRD
meq,497,856,1,ADRD
foley,497,856,1,ADRD
stress,497,856,1,ADRD
lives,496,859,1,ADRD
integrity,496,859,1,ADRD
gerd,496,859,1,ADRD
generalized,495,862,1,ADRD
nacl,494,863,1,ADRD
go,493,864,1,ADRD
remains,492,865,1,ADRD
filed,492,865,1,ADRD
estimated,492,865,1,ADRD
around,491,868,1,ADRD
tone,491,868,1,ADRD
nad,490,870,1,ADRD
chart,489,871,1,ADRD
supple,489,871,1,ADRD
urobilinogen,488,873,1,ADRD
cta,488,873,1,ADRD
therapist,487,875,1,ADRD
requiring,486,876,1,ADRD
ems,486,876,1,ADRD
initiated,486,876,1,ADRD
thought,486,876,1,ADRD
27,485,880,1,ADRD
mr,484,881,1,ADRD
liver,484,881,1,ADRD
sepsis,484,881,1,ADRD
tested,484,881,1,ADRD
rrr,483,885,1,ADRD
assess,483,885,1,ADRD
vs,482,887,1,ADRD
tender,482,887,1,ADRD
base,482,887,1,ADRD
hdl,481,890,1,ADRD
internal,481,890,1,ADRD
attack,481,890,1,ADRD
mother,481,890,1,ADRD
sided,480,894,1,ADRD
lipitor,480,894,1,ADRD
ams,480,894,1,ADRD
panel,479,897,1,ADRD
cbc,478,898,1,ADRD
disturbance,477,899,1,ADRD
radiation,477,899,1,ADRD
refill,477,899,1,ADRD
hematuria,477,899,1,ADRD
made,476,903,1,ADRD
face,476,903,1,ADRD
symmetric,475,905,1,ADRD
cultures,473,906,1,ADRD
oxygen,473,906,1,ADRD
rash,472,908,1,ADRD
hand,472,908,1,ADRD
funding,471,910,1,ADRD
topics,470,911,1,ADRD
pantoprazole,470,911,1,ADRD
np,469,913,1,ADRD
antibiotics,468,914,1,ADRD
distal,467,915,1,ADRD
personal,465,916,1,ADRD
bell,465,916,1,ADRD
melatonin,464,918,1,ADRD
jvd,463,919,1,ADRD
interval,462,920,1,ADRD
lesions,462,920,1,ADRD
increase,462,920,1,ADRD
verbal,461,923,1,ADRD
feet,460,924,1,ADRD
net,458,925,1,ADRD
nontender,457,926,1,ADRD
greater,457,926,1,ADRD
facial,455,928,1,ADRD
axial,454,929,1,ADRD
main,454,929,1,ADRD
nose,454,929,1,ADRD
28,454,929,1,ADRD
er,453,933,1,ADRD
arrival,453,933,1,ADRD
images,453,933,1,ADRD
82,453,933,1,ADRD
done,452,937,1,ADRD
end,452,937,1,ADRD
trauma,452,937,1,ADRD
sw,452,937,1,ADRD
diarrhea,451,941,1,ADRD
consistent,451,941,1,ADRD
starting,449,943,1,ADRD
egfr,449,943,1,ADRD
donepezil,448,945,1,ADRD
better,447,946,1,ADRD
voice,447,946,1,ADRD
cv,447,946,1,ADRD
essential,446,949,1,ADRD
