feature,chi2,p,n_target,n_reference,p_value,p_adjusted,significant
sit,492.93369903562154,0,1506,375,3.277000238896216e-109,7.585709386338257e-107,TRUE
bedside,490.4797333222631,0,1330,293,1.1205409036648454e-108,2.5513430509837767e-106,TRUE
aspiration,489.2824631350568,0,785,65,2.0414568081304897e-108,4.573192517439415e-106,TRUE
facility,483.7239290142601,0,2090,683,3.306979377309415e-107,7.290577233563567e-105,TRUE
assist,477.79783863783007,0,1467,367,6.440674265923621e-106,1.3977269512408308e-103,TRUE
ischemic,475.08710124636195,0,1098,198,2.504902458817068e-105,5.352398500078501e-103,TRUE
collection,473.4658931897043,0,1558,415,5.6437900286481726e-105,1.1876757531499162e-102,TRUE
signature,471.84027141898235,0,1052,180,1.2744237318085342e-104,2.6418613747893626e-102,TRUE
rehab,467.42226612583255,0,1060,186,1.166019210788913e-103,2.3815942380363547e-101,TRUE
mobility,462.59001982935735,0,1601,445,1.312990616959043e-102,2.6429169099919057e-100,TRUE
encephalopathy,458.99213361390343,0,742,63,7.965644402859534e-102,1.5804976444473725e-99,TRUE
min,458.82557974153855,0,2569,975,8.658967295069944e-102,1.6938647431158656e-99,TRUE
continue,458.1470131586571,0,4252,1996,1.2165639833738214e-101,2.3467857173720843e-99,TRUE
date,450.72192963450607,0,11816,7170,5.02347209768781e-100,9.557671775998082e-98,TRUE
chair,450.2451188451359,0,1287,300,6.379269800599675e-100,1.1973199764936335e-97,TRUE
whole,445.704962629534,0,996,171,6.206466564642663e-99,1.1493548548842927e-96,TRUE
slp,444.5068172769852,0,685,49,1.1313586510973265e-98,2.067557934880364e-96,TRUE
palliative,439.09908787836224,0,629,32,1.700277734684366e-97,3.066903565848202e-95,TRUE
ref,439.0356592797239,0,1899,621,1.755191233783208e-97,3.087936381575995e-95,TRUE
impairment,439.0342807782895,0,921,143,1.756404162607125e-97,3.087936381575995e-95,TRUE
likely,434.7519637660086,0,1821,583,1.5018846814589926e-96,2.6074595425979937e-94,TRUE
confused,431.77487722734645,0,675,51,6.677101799771791e-96,1.1449168752719804e-93,TRUE
glucose,427.630457665001,0,3058,1300,5.3287089980426985e-95,9.025663326075004e-93,TRUE
dextrose,426.88598435652034,0,827,111,7.738538453803956e-95,1.2949465130708814e-92,TRUE
signed,422.68827422191845,0,1406,378,6.343310650082968e-94,1.048836209750028e-91,TRUE
rounds,422.14457566317765,0,962,170,8.330226462146109e-94,1.3611590039146744e-91,TRUE
sex,417.71770401654,0,1505,432,7.6598129160231084e-93,1.237059785937732e-90,TRUE
xr,413.95536897626084,0,1683,528,5.048404899120777e-92,8.059459269412468e-90,TRUE
diagnoses,413.75114646557097,0,1709,542,5.592515254029849e-92,8.82664140491143e-90,TRUE
disposition,408.9221637289796,0,1043,214,6.291359291101655e-91,9.818054965630435e-89,TRUE
baseline,398.23111975199487,0,1388,388,1.336594755954301e-88,2.0626627294943653e-86,TRUE
po,396.8710083833732,0,1703,554,2.642916259659203e-88,4.033787245099635e-86,TRUE
commands,393.93988534967644,0,840,134,1.1486040720772215e-87,1.734017604030492e-85,TRUE
transfer,389.15069415059554,0,1193,298,1.2669885259294419e-86,1.8921724340466687e-84,TRUE
commonly,379.27985938820876,0,858,150,1.7854494428016433e-84,2.6380965224544705e-82,TRUE
pleural,378.29953017596296,0,916,176,2.918652576698192e-84,4.2670700671327563e-82,TRUE
intracranial,375.02530403710625,0,750,107,1.506778089892457e-83,2.1799625927621183e-81,TRUE
adult,374.1701871089353,0,1981,730,2.3132824422835052e-83,3.3122865815335676e-81,TRUE
findings,373.66916608677315,0,3322,1536,2.973811369276223e-83,4.214618990599741e-81,TRUE
brain,366.0925713937511,0,1227,332,1.327316488173513e-81,1.8621311822466588e-79,TRUE
ap,365.4025839392538,0,1566,509,1.875904833624564e-81,2.6054442234211566e-79,TRUE
admitted,362.1933580980113,0,1201,322,9.37541533690757e-81,1.289258847666428e-78,TRUE
confusion,354.13745735060417,0,801,140,5.323098988874522e-79,7.248286456517473e-77,TRUE
0,349.84006368985644,0,9766,5989,4.591642057563638e-78,6.191584129854503e-76,TRUE
max,348.0267685833331,0,1203,334,1.1398353572790588e-77,1.5222281997354662e-75,TRUE
aki,347.65603766469695,0,660,85,1.372699404162728e-77,1.8157544785158217e-75,TRUE
failure,346.5511358565278,0,1945,739,2.3888513306618177e-77,3.130071333166225e-75,TRUE
stopping,346.0986115330444,0,630,74,2.9973375202224346e-77,3.8906561512494763e-75,TRUE
nursing,343.97650932368947,0,1271,372,8.68704746316997e-77,1.1171703908885898e-74,TRUE
mental,342.6150036647651,0,1792,656,1.7193949613901784e-76,2.190887763187907e-74,TRUE
dictated,342.11909990125207,0,1110,292,2.2048167573140014e-76,2.7838818129394698e-74,TRUE
wo,335.0853399182805,0,1071,278,7.502720364321962e-75,9.387863345952048e-73,TRUE
term,332.6967591579947,0,1608,563,2.4856314877754554e-74,3.082404976224402e-72,TRUE
subcutaneous,331.2217019676967,0,1511,511,5.208354140571086e-74,6.401666429946178e-72,TRUE
agitation,327.2299044176624,0,606,74,3.8558974311760064e-73,4.697768370316101e-71,TRUE
dc,326.97741285576626,0,732,126,4.376429386724769e-73,5.2855850219322016e-71,TRUE
code,325.1412118536977,0,1068,284,1.0991611888322268e-72,1.3160560130767929e-70,TRUE
individualization,325.0357098435787,0,773,145,1.1588864900246023e-72,1.3757072187992906e-70,TRUE
ot,324.4647070500725,0,1077,289,1.5431639587657584e-72,1.8163562901099675e-70,TRUE
unable,324.0938177290537,0,1632,585,1.8586452857648438e-72,2.169304569242682e-70,TRUE
md,322.6799960317768,0,7899,4734,3.7770050420329843e-72,4.3715685857330094e-70,TRUE
lying,320.92576490468053,0,801,160,9.104382548629422e-72,1.045047679486893e-69,TRUE
flowsheets,320.76690164269024,0,803,161,9.85948145741275e-72,1.1224453931311941e-69,TRUE
ams,319.2507687071441,0,480,31,2.1091167735143212e-71,2.381587224987025e-69,TRUE
consulted,318.47319315089413,0,782,153,3.115123552694534e-71,3.4891895986592246e-69,TRUE
pneumonia,318.34422337459034,0,1001,256,3.3232890598441424e-71,3.692572940174023e-69,TRUE
shift,317.825477710111,0,594,74,4.310863265133989e-71,4.723629475196164e-69,TRUE
supine,317.8216015970527,0,990,251,4.319252238101467e-71,4.723629475196164e-69,TRUE
cpg,317.5945762660995,0,641,93,4.840170905815146e-71,5.251963571161451e-69,TRUE
per,316.1496889330677,0,5179,2857,9.9907479039082e-71,1.075670524320783e-68,TRUE
refills,314.71603274157843,0,1040,278,2.0506581654255157e-70,2.1908916353534606e-68,TRUE
donepezil,314.67600447656537,0,448,22,2.0922460014889824e-70,2.218259901884006e-68,TRUE
orientation,313.1878397161607,0,750,142,4.413534548050112e-70,4.643907677111213e-68,TRUE
wellbeing,312.5021796385286,0,740,138,6.225133217338923e-70,6.500817688392504e-68,TRUE
mod,309.5811599992415,0,920,223,2.6944266305541457e-69,2.7927530949079498e-67,TRUE
meds,305.6927364921388,0,1924,773,1.8947588281650904e-68,1.9493559529174031e-66,TRUE
memory,298.1285661790866,0,1124,334,8.423604226298706e-67,8.602605816107553e-65,TRUE
balance,295.67771851787194,0,1468,522,2.8805364928255054e-66,2.9202752809382075e-64,TRUE
sepsis,295.15870970752826,0,484,43,3.7372630780720857e-66,3.761365716764e-64,TRUE
heparin,294.94744651410076,0,621,97,4.155117741170088e-66,4.151829518497219e-64,TRUE
seroquel,291.84322599134396,0,512,55,1.972142837795859e-65,1.9565065624390488e-63,TRUE
mrn,291.67475073713894,0,2146,923,2.1460846541684515e-65,2.1139694866486258e-63,TRUE
integrity,287.515802277638,0,496,51,1.729212694244839e-64,1.6913405007300402e-62,TRUE
comparison,286.02088050372936,0,1133,349,3.660924589080421e-64,3.555705008233424e-62,TRUE
aricept,285.91725163565803,0,416,23,3.856307474747285e-64,3.7194621192197945e-62,TRUE
nutrition,284.69578743240726,0,1085,325,7.11758217607902e-64,6.8176619892111386e-62,TRUE
room,283.43927877123764,0,1367,478,1.3370071689181934e-63,1.271896751308547e-61,TRUE
peg,283.4019606007011,0,395,17,1.3622777623403e-63,1.287120805520029e-61,TRUE
atelectasis,276.9343551972181,0,529,69,3.4967628313610164e-62,3.281522903025213e-60,TRUE
continuous,274.6064478000047,0,766,174,1.1245657151159912e-61,1.0482612897480538e-59,TRUE
related,270.9794309708586,0,1666,662,6.94141400515293e-61,6.427286607837936e-59,TRUE
aspart,268.2449674122614,0,650,125,2.7378868387956335e-60,2.5183119406644074e-58,TRUE
associated,267.51539508412753,0,1570,610,3.948454869398357e-60,3.607900636912749e-58,TRUE
cues,263.5904110347566,0,534,78,2.8308215369525805e-59,2.569756884100287e-57,TRUE
study,262.58933090534987,0,1432,536,4.678583441106964e-59,4.219535416463287e-57,TRUE
agree,262.246590100594,0,1508,580,5.556752983545051e-59,4.9792091734488524e-57,TRUE
tid,261.447368838514,0,700,152,8.299035114353737e-59,7.388801198926862e-57,TRUE
functional,252.65175702038545,0,1222,428,6.860324875035325e-57,6.0689842158831616e-55,TRUE
cerebral,246.97092615511468,0,505,75,1.1880122178835574e-55,1.0443228920370082e-53,TRUE
infusions,245.87562945847807,0,599,116,2.0588232141075467e-55,1.7984273975308e-53,TRUE
fww,245.00269411806445,0,642,136,3.1911021068263714e-55,2.770076072606967e-53,TRUE
short,243.255357205546,0,1171,409,7.672057229438578e-55,6.618459804948597e-53,TRUE
hour,243.03094472465403,0,1194,422,8.586994571994136e-55,7.362022692001639e-53,TRUE
conference,242.51346935069444,0,645,139,1.1134447105574432e-54,9.48750526682965e-53,TRUE
cga,240.7793301734617,0,583,112,2.659364621357742e-54,2.2521899528071756e-52,TRUE
hemorrhage,239.59660800595015,0,692,163,4.815742831507266e-54,4.05368801132148e-52,TRUE
acquired,234.62486063577165,0,850,245,5.844942001454095e-53,4.890385509529875e-51,TRUE
desired,232.47783075315076,0,533,95,1.7178345086503225e-52,1.4286828437511574e-50,TRUE
matter,231.79528117829594,0,378,33,2.420071352875343e-52,2.0007363702431927e-50,TRUE
hd,231.21833391977515,0,501,82,3.2333093669203617e-52,2.657244603382065e-50,TRUE
cooperative,230.9571076821856,0,850,248,3.686508205780997e-52,3.011877204123075e-50,TRUE
risk,230.80120426245784,0,3083,1616,3.986709487438631e-52,3.238094039241822e-50,TRUE
readiness,229.6604102570119,0,692,170,7.069711269940884e-52,5.708791850477264e-50,TRUE
net,227.7562286016275,0,458,66,1.839424351423739e-51,1.476749411382908e-49,TRUE
reach,225.60530062482448,0,751,202,5.417422381206989e-51,4.324286175435854e-49,TRUE
sw,225.02677900622484,0,452,65,7.243855458813569e-51,5.749137626712096e-49,TRUE
l,222.50125075014958,0,7760,4927,2.575198495539602e-50,2.0322120400312238e-48,TRUE
adequate,222.44144379987733,0,718,188,2.6537223766098767e-50,2.0823474626403717e-48,TRUE
skilled,221.78246088307924,0,433,59,3.694795343129887e-50,2.882978231501742e-48,TRUE
training,219.75701535072,0,740,201,1.0218446348175467e-49,7.928715158089891e-48,TRUE
small,216.35899437676608,0,1576,675,5.631308186688447e-49,4.3451799669397687e-47,TRUE
son,214.88905013266844,0,883,279,1.1783397920707552e-48,9.04196760887885e-47,TRUE
swallow,212.57416671129636,0,600,138,3.7693935387732275e-48,2.8765443329682067e-46,TRUE
cultures,211.99525390459206,0,473,81,5.041589972664325e-48,3.82637394154835e-46,TRUE
og,210.71278301962826,0,273,6,9.601917726020536e-48,7.247882353081479e-46,TRUE
feeding,209.82320236705965,0,323,23,1.5011984705995643e-47,1.1270348950355322e-45,TRUE
lobe,209.50798806452983,0,802,241,1.7587716211570297e-47,1.3133107014112895e-45,TRUE
wife,209.02979212131538,0,971,332,2.236350882454635e-47,1.6609987917867604e-45,TRUE
language,207.88301671379892,0,610,146,3.9787115459530748e-47,2.9393789713692686e-45,TRUE
eob,206.20313911512918,0,437,69,9.252700108463646e-47,6.79951067759003e-45,TRUE
therapy,206.0739877619998,0,3009,1614,9.872976559346394e-47,7.217145864882214e-45,TRUE
supervision,205.78177025398057,0,609,147,1.1434246411707994e-46,8.314672691738866e-45,TRUE
hydralazine,205.0661564925082,0,394,52,1.6381375405674075e-46,1.1850048073406626e-44,TRUE
transport,204.974325869015,0,371,43,1.7154871349792416e-46,1.2345285397785847e-44,TRUE
transfers,204.89398798290037,0,616,151,1.7861458967829257e-46,1.278751564970003e-44,TRUE
wound,204.69390623627066,0,1417,594,1.9750325489745442e-46,1.4067295934721767e-44,TRUE
seizure,203.92683927505763,0,629,158,2.90367631672755e-46,2.0576102226035175e-44,TRUE
hospitalist,203.5977431362983,0,540,116,3.4257674159097307e-46,2.4152529766279314e-44,TRUE
hgb,202.0029504386611,0,1481,636,7.634030521750652e-46,5.355002521040142e-44,TRUE
hemodialysis,201.90343652857914,0,296,17,8.025443276841253e-46,5.601275460906942e-44,TRUE
poor,201.10903360282663,0,895,298,1.1962424389430328e-45,8.30730561723989e-44,TRUE
melatonin,200.17465246727463,0,464,84,1.9130173175041353e-45,1.3218854488962656e-43,TRUE
shock,199.70274204466233,0,397,56,2.424937067154544e-45,1.6673243032529435e-43,TRUE
overnight,198.48659584030614,0,569,133,4.4678304681571285e-45,3.0568323828686878e-43,TRUE
sitting,198.26521590241842,0,1191,468,4.9935416029391244e-45,3.3997695746677204e-43,TRUE
nacl,195.79652473858286,0,494,100,1.7265214522281386e-44,1.1697393390242252e-42,TRUE
alzheimer,195.09363914932874,0,427,71,2.4579598559937886e-44,1.657213807762026e-42,TRUE
pager,192.3460737816287,0,1018,375,9.777997209538482e-44,6.560705470689855e-42,TRUE
zyprexa,191.93701806669236,0,269,12,1.2009718522495904e-43,8.019374065333923e-42,TRUE
task,191.6727216248114,0,389,57,1.3715771682875682e-43,9.114753727438293e-42,TRUE
precautions,189.54796387250943,0,981,357,3.990261578537642e-43,2.632617192577297e-41,TRUE
memantine,189.5433925917455,0,278,16,3.999440043443082e-43,2.632617192577297e-41,TRUE
comorbidity,189.22444993201873,0,306,26,4.694816740009191e-43,3.0757693255654555e-41,TRUE
quetiapine,188.816983784403,0,353,44,5.7618515559614214e-43,3.757105927734657e-41,TRUE
liquids,188.72838753690937,0,390,59,6.0242273983945996e-43,3.909836183939374e-41,TRUE
glucagon,188.6096357587589,0,385,57,6.394745169879732e-43,4.1310053797423066e-41,TRUE
consciousness,187.9612429785117,0,607,159,8.858495926305805e-43,5.696094903725061e-41,TRUE
arterial,187.94971065273145,0,564,138,8.90999351230483e-43,5.70280644665446e-41,TRUE
response,187.34805086423637,0,790,254,1.2056330968372232e-42,7.681210129345042e-41,TRUE
staff,187.27856398291564,0,610,161,1.2484862464963191e-42,7.917911176980537e-41,TRUE
poc,186.97377414504928,0,765,241,1.4551844319569407e-42,9.186843897931796e-41,TRUE
infarct,186.8989567857357,0,373,53,1.5109511576345302e-42,9.495746890672393e-41,TRUE
18,185.7871524259946,0,1662,770,2.6421515702926154e-42,1.65301095314388e-40,TRUE
vancomycin,185.161778986508,0,402,66,3.618097960381349e-42,2.253442267790877e-40,TRUE
admitting,184.38099446598167,0,415,72,5.357145571724212e-42,3.3216694127534633e-40,TRUE
assistance,184.17136608100216,0,829,278,5.952481906243456e-42,3.674400942036238e-40,TRUE
frontal,183.73888202034175,0,566,142,7.39802712026282e-42,4.5465132156340834e-40,TRUE
psychiatry,183.6154053707687,0,331,38,7.871780251194517e-42,4.8163504805656674e-40,TRUE
cognition,183.55976711672005,0,430,79,8.095054293514711e-42,4.931237240466044e-40,TRUE
culture,183.42257204460765,0,706,213,8.673051665259385e-42,5.260262645361903e-40,TRUE
aware,182.05013496965816,0,1018,386,1.729045271007245e-41,1.0441178160443315e-39,TRUE
icu,181.83512128662596,0,339,42,1.9264150542545484e-41,1.1582674756944339e-39,TRUE
airspace,181.0185707310702,0,312,32,2.9042125304038266e-41,1.7386468894301184e-39,TRUE
uti,180.7629401295505,0,777,253,3.302489454209986e-41,1.9685955377477468e-39,TRUE
alarm,179.41892691458048,0,392,65,6.490725675933057e-41,3.852550808249326e-39,TRUE
due,178.5494954007469,0,2755,1498,1.0049194509560956e-40,5.939287767799664e-39,TRUE
perform,178.40156043300047,0,808,272,1.0825125724853327e-40,6.370769965783383e-39,TRUE
malnutrition,177.30730420101287,0,323,38,1.876588556232495e-40,1.0997442387136339e-38,TRUE
hyponatremia,176.5305185261167,0,282,23,2.7732489623033945e-40,1.6183888587156237e-38,TRUE
na,176.44030281999557,0,1422,634,2.9019420015329246e-40,1.6864047054096566e-38,TRUE
awake,176.3766778609242,0,704,218,2.996278424521931e-40,1.7339712932577124e-38,TRUE
hypokalemia,176.32457493575095,0,290,26,3.07581083178547e-40,1.7726114789488958e-38,TRUE
c,176.22507722763274,0,7381,4807,3.233601443498462e-40,1.8558467127582702e-38,TRUE
increased,175.499883174243,0,1571,728,4.656353154706453e-40,2.661402838095388e-38,TRUE
historical,174.92543074844687,0,569,150,6.215709466216801e-40,3.538114294110047e-38,TRUE
consult,174.23923173247437,0,1133,462,8.776895406978577e-40,4.975604094184712e-38,TRUE
agitated,174.06146730039288,0,262,17,9.597567101275984e-40,5.418723962179762e-38,TRUE
placement,172.79878391744737,0,983,376,1.8109756941221482e-39,1.0183255633871464e-37,TRUE
opacities,172.32797085640118,0,354,53,2.2947435446589496e-39,1.2851489149906513e-37,TRUE
mg,172.2292612272807,0,29461,21821,2.411524586297845e-39,1.3451271075940068e-37,TRUE
recommendations,172.0362655516754,0,1142,470,2.6573018420300883e-39,1.4762906113582358e-37,TRUE
effusion,170.7161098165341,0,780,264,5.161344400970003e-39,2.8560124456204134e-37,TRUE
cva,170.61546517357078,0,767,257,5.4293037908971574e-39,2.992365093324231e-37,TRUE
assessed,170.10088944854556,0,398,73,7.032848518347968e-39,3.86083925183142e-37,TRUE
wbc,169.47422516866868,0,1755,854,9.638334001961153e-39,5.270347281623561e-37,TRUE
arrival,168.21863162440343,0,453,99,1.8123699052602475e-38,9.871374750650816e-37,TRUE
full,167.9678097047325,0,1496,692,2.0560439927533873e-38,1.1154841802871796e-36,TRUE
human,167.45783199809992,0,369,62,2.657206481149131e-38,1.4360288255517621e-36,TRUE
basilar,165.57461067348711,0,282,28,6.851549971547849e-38,3.688417734683259e-36,TRUE
discharged,164.96538543973722,0,670,210,9.308323330762875e-38,4.991633310461991e-36,TRUE
septic,163.22033304973212,0,260,21,2.2391682624518165e-37,1.1961464614305108e-35,TRUE
data,161.76240013109768,0,1581,755,4.662275194221945e-37,2.4810092020133557e-35,TRUE
assisted,161.59049463687143,0,318,44,5.083406296203532e-37,2.6947874064111013e-35,TRUE
level,160.99644553893293,0,2492,1356,6.853952393925655e-37,3.6195644410354914e-35,TRUE
hematoma,159.92010403332029,0,439,98,1.1778898224491686e-36,6.196860509089585e-35,TRUE
bacteremia,159.21777362467554,0,266,25,1.677095979501686e-36,8.789881531810913e-35,TRUE
reason,159.1825035178903,0,1203,523,1.7071207688281347e-36,8.913609157238332e-35,TRUE
resp,159.12313608595065,0,1997,1029,1.7588780669620183e-36,9.149459727354109e-35,TRUE
bell,157.45936681045902,0,465,112,4.0623102401833393e-36,2.1052771241009848e-34,TRUE
amanda,156.9249499679596,0,241,17,5.315564274071181e-36,2.7445305651514735e-34,TRUE
changed,156.84921152483147,0,632,197,5.5220368649708257e-36,2.8405766673177706e-34,TRUE
vessel,156.8307549689943,0,426,94,5.573555489682468e-36,2.8564986050258227e-34,TRUE
equipment,156.52286294182784,0,773,274,6.50746255010567e-36,3.3228730646477073e-34,TRUE
eeg,155.75590333551762,0,248,20,9.572122077397344e-36,4.869860935273689e-34,TRUE
stand,155.47278645316743,0,835,310,1.1037645047067563e-35,5.594958104332897e-34,TRUE
catheter,155.3749207165645,0,724,248,1.1594785644204174e-35,5.855999193176428e-34,TRUE
bun,155.24360769865484,0,1643,805,1.2386776136384138e-35,6.23333093326954e-34,TRUE
continued,155.0499108902776,0,850,319,1.3654843654828556e-35,6.846647058552846e-34,TRUE
therapeutic,154.7114276517524,0,879,336,1.619034330230047e-35,8.088765400203282e-34,TRUE
subacute,154.52512219544624,0,252,22,1.7781571588771924e-35,8.851908523170368e-34,TRUE
became,154.18999399771707,0,539,151,2.1047854772970144e-35,1.0440487676492226e-33,TRUE
subjective,153.58525977269386,0,1874,958,2.853427143326462e-35,1.4103647542228196e-33,TRUE
ng,153.37865536623218,0,744,261,3.1660588248611847e-35,1.5593401070389005e-33,TRUE
calm,152.53313396726173,0,263,27,4.845145004313752e-35,2.3778875959333466e-33,TRUE
avg,152.36944986631204,0,544,155,5.26114793936599e-35,2.5729606947131773e-33,TRUE
comments,152.18641335686868,0,2267,1222,5.768781305188687e-35,2.81131942272862e-33,TRUE
specific,151.43862748196693,0,1137,493,8.404650817555875e-35,4.081545286889285e-33,TRUE
ems,150.89354049628113,0,486,127,1.1057495853030933e-34,5.3511344913849e-33,TRUE
consultations,150.28707042072315,0,244,21,1.500421770897668e-34,7.235888186110316e-33,TRUE
f,149.26790043935037,0,3917,2376,2.506004238502022e-34,1.2043561546212659e-32,TRUE
75,149.1672913624393,0,1660,826,2.636169282724807e-34,1.2625432816470636e-32,TRUE
therapist,148.89714728266156,0,487,129,3.0201105243649813e-34,1.4414541262166744e-32,TRUE
ivf,148.78766543826785,0,279,35,3.1912010305282828e-34,1.5178969559249083e-32,TRUE
details,147.43755777113765,0,846,325,6.29621935768631e-34,2.984579885969459e-32,TRUE
setting,146.39338649694892,0,670,227,1.0649807756021591e-33,5.031128568822581e-32,TRUE
status,144.95166450776873,0,5676,3663,2.2005351160740575e-33,1.036041770411952e-31,TRUE
stroke,144.8650897966829,0,1381,654,2.2985595765670055e-33,1.0785369580722682e-31,TRUE
bonner,144.7963278677137,0,174,0,2.379517740334795e-33,1.1127650469868675e-31,TRUE
intubated,144.16555850135268,0,208,11,3.268843272234956e-33,1.5235222888614533e-31,TRUE
infusion,143.99217944762026,0,642,214,3.566980054592735e-33,1.656915919004632e-31,TRUE
transient,143.1248248654226,0,352,69,5.519994330874882e-33,2.5555733753840414e-31,TRUE
held,143.0817091573377,0,313,52,5.641123779448291e-33,2.6029756868025687e-31,TRUE
x,142.75373357108163,0,6245,4090,6.653898983929756e-33,3.0601325492649136e-31,TRUE
infection,142.49722397803643,0,1424,685,7.571149047213611e-33,3.466352395352171e-31,TRUE
hob,142.49304597826722,0,253,28,7.587091426215422e-33,3.466352395352171e-31,TRUE
codes,141.7502710806623,0,680,237,1.1027734125515173e-32,5.021777025222303e-31,TRUE
hospitalization,141.58990178812425,0,599,193,1.1955080131199681e-32,5.426278037327855e-31,TRUE
acidosis,140.29151938805728,0,237,23,2.2986118878330446e-32,1.0399159775281159e-30,TRUE
